0.010000 	 -nan 	 -nan	-nan
5.130000 	 1.844251 	 1.074853	2.134613
5.140000 	 1.843490 	 1.073834	2.133442
5.150000 	 1.842726 	 1.072819	2.132271
5.160000 	 1.841962 	 1.071806	2.131101
5.170000 	 1.841196 	 1.070796	2.129931
5.180000 	 1.840429 	 1.069789	2.128762
5.190000 	 1.839660 	 1.068784	2.127592
5.200000 	 1.838890 	 1.067783	2.126424
5.210000 	 1.838119 	 1.066784	2.125255
5.220000 	 1.837346 	 1.065787	2.124087
5.230000 	 1.836572 	 1.064794	2.122919
5.240000 	 1.835797 	 1.063803	2.121751
5.250000 	 1.835021 	 1.062815	2.120584
5.260000 	 1.834243 	 1.061830	2.119418
5.270000 	 1.833465 	 1.060847	2.118251
5.280000 	 1.832685 	 1.059867	2.117086
5.290000 	 1.831904 	 1.058890	2.115920
5.300000 	 1.831121 	 1.057915	2.114755
5.310000 	 1.830338 	 1.056943	2.113591
5.320000 	 1.829553 	 1.055974	2.112427
5.330000 	 1.828768 	 1.055007	2.111263
5.340000 	 1.827981 	 1.054043	2.110100
5.350000 	 1.827194 	 1.053081	2.108937
5.360000 	 1.826405 	 1.052122	2.107775
5.370000 	 1.825615 	 1.051166	2.106614
5.380000 	 1.824825 	 1.050212	2.105452
5.390000 	 1.824033 	 1.049260	2.104292
5.400000 	 1.823241 	 1.048311	2.103132
5.410000 	 1.822447 	 1.047365	2.101972
5.420000 	 1.821653 	 1.046421	2.100813
5.430000 	 1.820857 	 1.045480	2.099655
5.440000 	 1.820061 	 1.044541	2.098497
5.450000 	 1.819264 	 1.043605	2.097340
5.460000 	 1.818466 	 1.042671	2.096183
5.470000 	 1.817668 	 1.041740	2.095027
5.480000 	 1.816868 	 1.040811	2.093871
5.490000 	 1.816068 	 1.039884	2.092717
5.500000 	 1.815267 	 1.038960	2.091562
5.510000 	 1.814465 	 1.038038	2.090409
5.520000 	 1.813663 	 1.037119	2.089256
5.530000 	 1.812859 	 1.036202	2.088103
5.540000 	 1.812056 	 1.035288	2.086951
5.550000 	 1.811251 	 1.034376	2.085800
5.560000 	 1.810446 	 1.033466	2.084650
5.570000 	 1.809640 	 1.032559	2.083500
5.580000 	 1.808833 	 1.031654	2.082351
5.590000 	 1.808026 	 1.030751	2.081203
5.600000 	 1.807218 	 1.029850	2.080055
5.610000 	 1.806409 	 1.028952	2.078908
5.620000 	 1.805600 	 1.028057	2.077761
5.630000 	 1.804791 	 1.027163	2.076616
5.640000 	 1.803980 	 1.026272	2.075471
5.650000 	 1.803170 	 1.025383	2.074327
5.660000 	 1.802358 	 1.024496	2.073183
5.670000 	 1.801546 	 1.023612	2.072040
5.680000 	 1.800734 	 1.022730	2.070898
5.690000 	 1.799921 	 1.021850	2.069757
5.700000 	 1.799108 	 1.020972	2.068617
5.710000 	 1.798294 	 1.020097	2.067477
5.720000 	 1.797480 	 1.019224	2.066338
5.730000 	 1.796665 	 1.018353	2.065200
5.740000 	 1.795850 	 1.017484	2.064062
5.750000 	 1.795035 	 1.016617	2.062925
5.760000 	 1.794219 	 1.015753	2.061789
5.770000 	 1.793403 	 1.014891	2.060654
5.780000 	 1.792586 	 1.014030	2.059520
5.790000 	 1.791769 	 1.013172	2.058387
